35,97,1,2,4,3,3,13
30,85,3,2,2,1,2,9
76,136,1,2,2,1,1,6
69,28,3,1,3,1,2,12
28,18,3,2,3,4,1,6
35,91,1,3,2,1,2,6
30,28,2,2,2,2,2,9
64,41,1,3,3,3,2,10
65,11,3,2,3,3,2,9
32,16,3,4,3,1,2,11
63,37,3,4,2,2,2,9
18,83,1,2,1,4,2,11
5,30,2,3,3,1,4,5
2,26,1,1,2,2,1,9
29,131,1,2,3,1,1,4
21,90,1,1,1,4,3,12
52,29,3,2,2,2,3,11
61,122,1,2,1,2,2,11
61,19,1,2,2,2,1,10
5,45,1,2,1,1,1,7
30,42,1,3,1,2,2,8
37,7,3,2,2,2,2,9
30,134,3,3,2,2,1,5
23,90,1,5,3,3,2,9
10,1,1,4,1,2,1,7
68,83,3,3,2,2,2,12
49,11,3,2,3,3,1,7
24,119,1,4,3,3,2,7
44,28,3,4,3,1,3,12
10,76,3,1,3,3,3,12
21,43,1,2,1,4,3,12
69,13,3,3,1,2,2,9
67,120,1,2,3,1,1,8
69,25,1,1,1,2,2,8
78,134,1,2,3,3,3,8
23,4,1,5,3,2,1,9
1,22,1,2,3,1,2,11
20,59,1,2,1,2,1,7
84,58,3,1,3,4,2,10
73,42,1,2,3,4,2,11
49,10,1,1,1,4,3,10
54,92,1,1,3,1,1,7
27,28,3,2,2,2,2,11
68,35,3,2,2,2,2,8
47,45,1,2,1,4,1,6
76,25,1,4,1,4,2,10
4,28,2,2,3,1,2,12
81,58,1,4,1,4,1,9
31,49,3,2,3,3,2,9
28,34,3,2,3,4,1,7
43,59,1,3,1,1,3,12
25,42,1,3,1,1,2,9
67,26,1,2,3,1,3,12
30,10,3,3,2,2,2,9
75,32,1,2,2,2,1,8
5,53,1,1,3,1,4,5
2,26,1,1,2,2,1,9
62,8,3,4,4,2,1,7
69,111,3,2,3,2,2,11
45,28,3,1,3,4,3,11
76,74,3,3,1,1,1,9
17,96,3,2,2,1,1,8
54,22,1,2,4,4,2,10
9,64,1,2,3,4,4,1
35,138,3,2,3,1,2,9
58,114,3,2,3,1,2,11
2,38,1,2,1,3,1,9
36,41,1,4,2,1,2,11
71,19,1,1,1,3,4,3
42,58,3,3,3,1,3,12
5,57,1,4,1,1,1,7
82,2,1,4,1,4,1,7
46,42,1,1,2,1,2,11
81,66,1,2,1,4,1,9
69,21,2,1,3,1,3,13
61,97,1,3,3,1,3,13
31,21,3,4,3,1,1,5
49,153,3,2,1,1,3,13
2,28,3,1,3,3,3,12
83,49,3,1,2,1,2,10
30,1,1,3,1,2,4,2
42,144,1,4,3,1,2,11
29,97,3,4,2,1,2,7
28,28,3,2,1,4,3,12
31,19,3,1,3,3,2,9
15,51,3,2,2,2,2,11
17,66,3,1,2,1,1,7
68,63,3,2,2,2,2,8
52,19,3,2,3,2,2,10
65,21,1,3,3,1,2,12
61,27,1,4,1,1,2,12
54,4,1,3,3,1,2,11
35,84,3,3,2,2,2,10
51,54,1,2,1,2,2,9
27,11,1,3,1,4,2,9
10,72,3,2,3,4,2,10
69,90,3,3,1,2,2,11
30,130,3,2,2,2,2,8
69,24,3,1,1,2,2,10
61,91,1,3,1,1,2,13
27,123,1,3,1,2,2,11
84,25,3,4,2,2,2,13
54,29,1,4,1,4,1,7
59,49,1,1,3,3,2,10
81,28,3,2,3,4,3,13
17,4,1,1,3,1,2,9
71,16,1,3,1,2,2,11
48,1,1,2,1,1,1,8
21,60,1,2,1,4,2,10
21,51,1,2,1,4,1,8
